route_id,service_id,trip_id,trip_headsign,direction_id,shape_id
S74,CH_B1-Sunday,CH_B1-Sunday-147000_S7484_716,BRICKTOWN MALL via AR KILL RD,1,S740504
S74,CH_B1-Sunday,CH_B1-Sunday-141000_S7484_715,BRICKTOWN MALL via AR KILL RD,1,S740504
S74,CH_B1-Sunday,CH_B1-Sunday-118500_S7484_715,ST GEORGE FERRY,0,S740503
S74,CH_B1-Sunday,CH_B1-Sunday-052700_S7484_704,ST GEORGE FERRY,0,S740503
S74,CH_B1-Sunday,CH_B1-Sunday-049700_S7484_708,ST GEORGE FERRY,0,S740503
S74,CH_B1-Sunday,CH_B1-Sunday-047200_S7484_702,ST GEORGE FERRY,0,S740503
S74,CH_B1-Sunday,CH_B1-Sunday-038700_S7484_704,ST GEORGE FERRY,0,S740503
S74,CH_B1-Sunday,CH_B1-Sunday-044200_S7484_705,ST GEORGE FERRY,0,S740503
S74,CH_B1-Sunday,CH_B1-Sunday-083500_S7484_706,ST GEORGE FERRY,0,S740503
S74,CH_B1-Sunday,CH_B1-Sunday-086500_S7484_708,ST GEORGE FERRY,0,S740503
S78,CH_B1-Sunday,CH_B1-Sunday-012000_MISC_802,BRICKTOWN MALL via HYLAN,1,S780680
S78,CH_B1-Sunday,CH_B1-Sunday-005100_MISC_802,ST GEORGE FERRY via HYLAN,0,S780698
S74,CH_B1-Sunday,CH_B1-Sunday-140500_S7484_716,ST GEORGE FERRY,0,S740503
S74,CH_B1-Sunday,CH_B1-Sunday-009000_S7484_702,BRICKTOWN MALL via AR KILL RD,1,S740504
S74,CH_B1-Sunday,CH_B1-Sunday-015000_S7484_704,BRICKTOWN MALL via AR KILL RD,1,S740504
S74,CH_B1-Sunday,CH_B1-Sunday-021000_S7484_702,BRICKTOWN MALL via AR KILL RD,1,S740504
S74,CH_B1-Sunday,CH_B1-Sunday-027000_S7484_704,BRICKTOWN MALL via AR KILL RD,1,S740504
S74,CH_B1-Sunday,CH_B1-Sunday-033000_S7484_705,BRICKTOWN MALL via AR KILL RD,1,S740504
