"route_id","service_id","trip_id","trip_headsign","trip_short_name","direction_id","shape_id"
"8","C0F43128","GO701_21_957","Jamaica","957","1","C905AE44"
"8","C0F43128","GO701_21_958","West Hempstead","958","0","03F849CB"
"8","C0F43128","GO701_21_959","Jamaica","959","1","0DAA4A2A"
"8","C0F43128","GO701_21_961","Valley Stream","961","1","DCBA2852"
"8","C0F43128","GO701_21_962","West Hempstead","962","0","03F849CB"
"8","C0F43128","GO701_21_963","Jamaica","963","1","0DAA4A2A"
"8","C0F43128","GO701_21_964","West Hempstead","964","0","0DAA4A2A"
"8","C0F43128","GO701_21_966","West Hempstead","966","0","03F849CB"
"8","C0F43128","GO701_21_968","West Hempstead","968","0","DCBA2852"
"8","C0F43128","GO701_21_970","West Hempstead","970","0","DCBA2852"
"8","C0F43128","GO701_21_972","West Hempstead","972","0","DCBA2852"
"1","C0F43128","GO701_21_1003","Penn Station","1003","1","CFBEE102"
"1","C0F43128","GO701_21_1007","Penn Station","1007","1","00CEF9D1"
"1","C0F43128","GO701_21_1015","Penn Station","1015","1","0242EC33"
"1","C0F43128","GO701_21_1017","Penn Station","1017","1","5E7A0CE1"
"1","C0F43128","GO701_21_1050","Wantagh","1050","0","0EA08BA1"
"1","C0F43128","GO701_21_1052","Massapequa Park","1052","0","D17CDC7B"
"1","C0F43128","GO701_21_1054","Wantagh","1054","0","0EA08BA1"
"1","C0F43128","GO701_21_1062","Seaford","1062","0","41EABCEE"
"1","C0F43128","GO701_21_1099","Penn Station","1099","1","0242EC33"
"1","C0F43128","GO701_21_1152","Freeport","1152","0","4A60B26A"
"1","C0F43128","GO701_21_1156","Freeport","1156","0","4A60B26A"
"1","C0F43128","GO701_21_1158","Babylon","1158","0","A8F61878"
"10","C0F43128","GO701_21_1233","Penn Station","1233","1","4B4097AC"
"10","C0F43128","GO701_21_1250","Hicksville","1250","0","4B4097AC"
"10","C0F43128","GO701_21_1256","Hicksville","1256","0","4B4097AC"
"10","C0F43128","GO701_21_1260","Hicksville","1260","0","4B4097AC"
"12","C0F43128","GO701_21_1328","Jamaica","1328","0","436E0248"
"12","C5306FBE","GO701_21_1350","Jamaica","1350","0","436E0248"
"12","C0F43128","GO701_21_1353","Penn Station","1353","1","436E0248"
"12","C0F43128","GO701_21_1453","Atlantic Terminal","1453","1","76789C63"
"10","C0F43128","GO701_21_1601","Penn Station","1601","1","034C401F"
"10","C0F43128","GO701_21_1602","Huntington","1602","0","034C401F"
"10","C0F43128","GO701_21_1603","Penn Station","1603","1","034C401F"
"10","C0F43128","GO701_21_1604","Huntington","1604","0","034C401F"
"10","C0F43128","GO701_21_1605","Penn Station","1605","1","034C401F"
"10","C0F43128","GO701_21_1606","Huntington","1606","0","07123366"
